Region,Site.Number,Lab No.,CRA,Error,Material,Material ID,Source,Rejected Previously,Accepted Y/N
Northern,T12/299,Wk3038,160,45,Charcoal,"Leptospermum scoparium, Hebe sp., Pseudopanax arboreus, Dracophyllum sp.",Allen et al. 1993,,Y
Northern,T12/340,Wk2641,110,45,Charcoal,Leptospermum ericoides - 10 pc; Hebe sp. - 5 pc; Quintinia serrata - 2 pc; Pseudopanax arboreus - 1 pc; Melicytus ramiflorus - 1 pc; Coprosma sp. - 1 pc; Olearia sp. - 1 pc,Database,,Y
Northern,T12/345,Wk2950,290,50,Charcoal,"Dodonaea viscosa, Hebe sp., Leptospermum scoparium, Pseudopanax arboreus, Pseudopanax crassifolius, Lophomurtus bullata, Olearia sp., unidentified shrub",Allen et al. 1993,,Y
Northern,T12/345,Wk2951,290,90,Charcoal,"Pseudopanax arboreus, Pittosporum sp., Dracophyllum sp., unidentified shrub",Allen et al. 1993,,Y
Northern,T12/347,Wk2852,350,60,Charcoal,Hebe sp. - 12 pc; Leptospermum scoparium - 7 pc; Pseudopanax arboreus - 5 pc; Pittosporum sp. - 4 pc; unidentified shrub,Allen et al. 1993,,Y
Northern,T12/347,Wk2853,70,54,Charcoal,Olearia sp. - 9 pc; Avicennia resinifera - 5 pc; Leptospermum scoparium - 5 pc; Hoheria sp. - 3 pc; Dodonaea viscosa - 1 pc; unidentified shrub - 1 pc,Allen et al. 1993,,Y
Northern,T12/882,Wk2640,110,55,Charcoal,"bark of Leptospermum scoparium, Myrsine australis, Hebe sp.",Database,,Y
Central,T28/47,NZ3114,337,79,Charcoal,Coprosma sp. Hebe sp.,Database,,Y
Central,T28/47,NZ3115,531,58,Charcoal,"Coprosmas sp. Dominant, Podocarpus totara minor",Database,,Y
Northern,U14/157,Wk31086,220,31,Charcoal,"tutu, mapou, puriri",Furey 2011a,,Y
Northern,U14/177,NZ6304,89,54,Charcoal,Melicytus ramiflorus - dominant; Hebe sp. - minor; Leptospermum sp. - minor; unidentified - minor,Database,,Y
Northern,U14/1810,Wk14091,222,27,Charcoal,Tutu,Gumbley 2004,,Y
Northern,U14/1810,Wk14092,195,30,Charcoal,Short lived species,Gumbley 2004,,Y
Northern,U14/1945,Wk13117,355,35,Charcoal,Mahoe,Campbell and Paihana 2003,,Y
Northern,U14/2039,Wk17778,616,35,Charcoal,"54% Coriaria arborea, 23% Hebe, 23% Coprosma",Hooker 2005a,,Y
Northern,U14/2039,Wk17779,639,35,Charcoal,"54% Coriaria arborea, 23% Hebe, 23% Coprosma",Hooker 2005a,,Y
Northern,U14/2897,Wk17613,138,39,Charcoal,Manuka twig,Felgate 2006a,,Y
Northern,U14/3081,Wk19481,296,31,Charcoal,Bracken root and Tutu,Gumbley 2007,,Y
Northern,U14/3218,Wk16952,447,32,Charcoal,Mahoe and Five finger,Campbell 2005,,Y
Northern,U14/712,Wk25349,283,30,Charcoal,"Manuka, Olearis sp, Akeake",Furey 2011,,Y
Northern,U15/501,Wk19541,452,34,Charcoal,Ponga,Moore 2006a,,Y
Northern,U15/502,Wk19542,412,36,Charcoal,Bracken,Moore 2006a,,Y
Northern,U15/9,Wk16047,266,49,Charcoal,Short lived species,Campbell and Phillips 2005,,Y
Northern,U15/9,Wk16049,242,34,Charcoal,Short lived species,Campbell and Phillips 2005,,Y
Northern,U15/9,Wk16048,228,35,Charcoal,Short lived species,Campbell and Phillips 2005,,Y
Northern,U15/9,Wk16046,160,46,Charcoal,Short lived species,Campbell and Phillips 2005,,Y
Northern,U16/83,NZ1129,207,43,Wood,Leptospermum sp.,Database,,Y
Central,U26/14,NZ4722,221,55,Charcoal,Unspecified (twigs),Database,,Y
Northern,V15/5,Wk19096,423,36,Charcoal,Tree fern,Hooker 2006,,Y
Northern,V15/80,NZ6619,190,39,Wood,Pteridium esculentum,Database,,Y
Central,V21/168,NZA1351,414,63,Charcoal,"Myrsine australis, Hebe sp., Alectryon excelsa",Database,,Y
Central,V21/45,Wk1962,220,50,Charcoal,"Hoheria/Plagianthus sp., Hebe sp., Coprosma sp., Melicytus ramiflorus, Pseudopanax arboreus, unidentified scrub sp",Database,,Y
Central,V21/45,Wk1963,250,0,Charcoal,"Pseudopanax crassifolius, Schefflera digitata, Corynocarpus laevigata",Database,,Y
Central,V21/45,Wk1964,250,0,Charcoal,"Pteridium aquilinium - 80%, Scheffliera digitata - 20%",Database,,Y
Central,V22/119,Beta51319,360,70,Charcoal,"Hebe sp., Pittosporum sp., Pseudopanax crassifolis, unidentified conifer, Podocarpus spicatus, Schleffera digitata, Myoporum laetum, unidentified shrub",Database,,Y
Central,W21/1,NZ1912,118,83,Wood,Pseudopanax sp.,Database,,Y
Northern,Y17/100,NZ6562,564,51,Charcoal,tree fern with some Pteriduem esculentum,Database,,Y
Central,Y17/178,NZ7392,347,66,Charcoal,gymnosperm,Database,Schmidt (J),Y
Central,Y17/459,NZ7399,607,66,Charcoal,Pseudopanax arboreus,Database,,Y
Northern,Z17/211,Wk1147,360,125,Charcoal,Unspecified (twigs),Database,Schmidt (G),Y
Central,Z17/221,NZ7398,213,64,Charcoal,"Leptospermum ericoides, Beilschmiedia tawa, Coprosma sp., Hebe sp., Cassinia sp., fern stem",Database,,Y
Northern,Z17/221,NZ7394,134,64,Charcoal,"Beilschmiedia tawa, Hebe sp., Myrsine australis",Database,,Y
Northern,Z17/311,Wk24846,361,35,Charcoal,Short lived species,Walter et al 2010,,Y
Northern,Z17/311,Wk24847,389,36,Charcoal,Short lived species,Walter et al 2010,,Y
Central,Q07/nn,Wk24674,275,35,Charcoal,"Mahoe, wineberry",Gibb 2011,,Y
Central,Q07/nn,Wk24675,179,30,Charcoal,Bracken,Gibb 2011,,Y
Central,Q07/nn,Wk24676,354,31,Charcoal,"Five finger, Coprosma",Gibb 2011,,Y
Central,Q07/nn,Wk24677,261,35,Charcoal,"Five finger, Tutu, mahoe",Gibb 2011,,Y
Central,Q07/nn,Wk24678,549,35,Charcoal,"Coprosma, mahoe, pate",Gibb 2011,,Y
Northern,P05/854,Wk 12418,454,43,Charcoal,"Manuka, Rangiora, 5 finger and Coprosma sp.",Best 2003,,Y
Northern,P05/854,Wk 12419,213,51,Charcoal,"Hebe sp., Coprosma, 5-finger",Best 2003,,Y
