Region,Site.Number,Lab No.,CRA,Error,Material,Material ID,Source,Rejected Previously,Accepted Y/N
Central,M37/161,Wk27973,662,36,Charcoal,"Short lived - Dodonea viscose, Myoporum laetum and Leucopogon fasciculatus",Trotter 2010,,Y
Northern,N03/323,NZ6581,430,32,Charcoal,Beilschmiedia tarairi - dominant; Kunzea ericoides - subdominant,Database,,Y
Northern,N03/455,NZ6608,482,40,Charcoal,Beilschmiedia tarairi - dominant; Leptospermum scoparium - minor; unidentified,Database,,Y
Northern,N03/59,NZA2438,727,86,Charcoal,Pittosporum sp. [possibly tenuifolium] - 6pc; Coprosma sp. - 5pc; Hebe sp. - 2pc; Brachyglottis repanda - 1pc,Database,,Y
Northern,N03/59,NZA2437,774,87,Charcoal,"Olearia sp. - 1pc; Beilschmiedia taraire - 1pc; Pseudopanax sp. [possibly arboreus] - 1pc, Leptospermum scoparium - 1pc",Database,,Y
Northern,N03/59,NZA2436,632,86,Charcoal,"Dodonaea viscosa - 2pc; Pittosporum sp. - 1pc; Leptospermum scoparium - 1pc, Beilschmiedia taraire - 1pc",Database,,Y
Northern,N03/59,NZ7921,300,54,Charcoal,Cassinia retorta - 5pc; Plagianthus betulinus - 3pc; Leptospermum scoparium - 3pc; Olearia sp. - 2pc; Melicytus ramiflorus - 1pc,Database,,Y
Northern,N05/301,Wk2100,400,50,Wood,"Metrosideros excelsa, Cassinia retorta, Myoporum laetum, Myrsine australis, Prumnopitys taxifolia",Database,,Y
Northern,N05/302,Wk13534,746,39,Charcoal,Leptospermum ericoides,Allen et al. 2005,,Y
Northern,N05/302,Wk13536,183,36,Charcoal,Leptospermum ericoides,Allen et al. 2005,,Y
Northern,N05/302,Wk13535,218,37,Charcoal,Varied shot lived species,Allen et al. 2005,,Y
Northern,N05/302,Wk13533,239,37,Charcoal,"Leptospermum ericoides, Cassinia sp.",Allen et al. 2005,,Y
Northern,N05/302,Wk13537,178,39,Charcoal,Leptospermum ericoides,Allen et al. 2005,,Y
Northern,N05/315,Wk13538,339,33,Charcoal,Leptospermum ericoides,Allen et al. 2005,,Y
Northern,N05/315,Wk13531,383,40,Charcoal,Cassinia sp.,Allen et al. 2005,,Y
Northern,N05/315,Wk13530,356,38,Charcoal,Leptospermum ericoides,Allen et al. 2005,,Y
Northern,N05/315,Wk13532,233,38,Charcoal,"Pittosporum, Leptospermum ericoides",Allen et al. 2005,,Y
Central,N26/18,WK1827,430,60,Charcoal,"Melicytus ramiflorus, Myrsine australis, Coprosma sp. Dodonaea viscose",Database,,Y
Central,N26/18,WK2094,460,50,Charcoal,"Melicytus ramiflorus, Myrsine australis, Coprosma sp. Dodonaea viscose",Database,,Y
Southern,N36/72,WK2566,134,56,Charcoal,Twigs - long lived species removed,Jacomb 1995,,Y
Southern,N36/72,WK2567,380,55,Charcoal,Twigs - long lived species removed,Jacomb 1995,,Y
Southern,N36/72,WK2569,600,45,Charcoal,Twigs - long lived species removed,Jacomb 1995,,Y
Central,N36/72,WK2570,640,50,Charcoal,Twigs - long lived species removed,Database,,Y
Central,N36/72,WK2571,114,50,Charcoal,Twigs - long lived species removed,Database,,Y
Central,N37/12,NZ7655,213,47,Charcoal,"Twigs - Myoporum leatum, Olearia avicenniaefolia, Pseudopanaz arboreum, Metrosideros umbellat, Myrsine australis, Prumnopitys taxifolia, hoheria sp.",Challis 1995,,Y
Central,N37/12,NZ7656,418,47,Charcoal,"Twigs - Prumnopitys taxifolia, Dacrydium curessinum, Pittisporum sp., Coprosma sp.",Challis 1995,,Y
Central,N37/12,NZ7661,476,43,Charcoal,Alectryon excelsus dominant; Schefflera digitata minor,Challis 1995,,Y
Northern,O04/252,NZ7338,330,55,Charcoal,"Cyathea dealbata - 95%, Podocarpus sp. bark - 5%",Database,,Y
Northern,O04/252,NZ7334,410,55,Charcoal,Leptospermum scoparium,Database,,Y
Northern,O04/252,NZ7342,360,55,Charcoal,Metrosideros sp.,Database,,Y
Northern,O04/253,NZ7335,410,55,Charcoal,Beilschmiedia tarairi,Database,,Y
Northern,O06/170,Wk1087,360,50,Charcoal,"Ackama rosifolia, Metrosideros robusta, Brachyglottis repanda, Carpodetus serratus, Cyathea dealbata",Database,,Y
Northern,O06/171,Wk1084,570,105,Charcoal,"Myrsine sp., Brachyglottis repanda, Dodonaea viscosa, Ackama rosifolia, Coprosma sp., Olearia sp.",Database,,Y
Northern,O06/249,Wk1085,460,50,Charcoal,"Knightia excelsa, Elaeocarpus dentatus, Prumnopitys taxifolia, Vitex lucens, Dysoxylum spectabile, Beilschmeidia tarari, Dodonae viscosa, Melicytus ramiflorus, Brachyglottis repanda, Scheffliera digitata, Pseudopanax arboreus",Database,,Y
Northern,O06/307,NZA0514,156,93,Charcoal,Fern sp.,Trotter 1967a/Fredericksen 1990,,Y
Northern,O06/307,NZA0538,304,75,Charcoal,Fern sp.,Database/Fredericksen1990,,Y
Northern,O06/308,NZA0515,90,89,Charcoal,Ackama rosaefolia,Anderson 1991,,Y
Central,O27/35,NZ7544,595,49,Charcoal,Unspecified (twigs),Database,,Y
Northern,P05/0,NZ7451,191,64,Charcoal,"Schefflera digitata - 90%, Fern sp - 10%",Database,,Y
Northern,P05/0,NZ7337,250,50,Charcoal,"Beilschmiedia tawa - 50%, Hebe sp. - 25%, Myrsine australis - 25%",Database,,Y
Northern,P05/0,NZ7309,400,55,Charcoal,"Cyathea dealbata - 40%, Podocarpus totara - 10%, Metrosideros sp. - 5%",Database,,Y
Northern,P05/0,NZ7308,495,55,Charcoal,"Knightia excelsa, Dysoxylum spectabile, Beilschmiedia taraire, Coprosma sp., Fern stems",Database,,Y
Northern,P05/0,NZ7304,280,55,Charcoal,Cyathea dealbata,Database,,Y
Northern,P05/0,NZ7303,357,65,Charcoal,Cyathea dealbata,Database,,Y
Northern,P05/0,NZ7247,250,50,Charcoal,"Hebe sp. - 80%, Brachyglotis responda - 20%",Database,,Y
Northern,P05/0,NZ7450,230,64,Charcoal,Pteridium aquilinium var. esculentum 99% - Vitex lucens 1 %,Database,,Y
Northern,P05/195,NZ7341,250,50,Charcoal,"Myrsine sp., Olearia sp., carbonised seeds sp.",Database,,Y
Northern,P05/195,NZ7333,380,60,Charcoal,"Cyathodes fasciculata, Hoheria sp., Dysoxylum spectible, Leptospermum sp.",Database,,Y
Northern,P05/195,NZ7322,390,55,Charcoal,"Myrsine sp. - 50%, Schefflera digitata - 30%, Coprosma sp. - 10%, unidentified shrub - 10%",Database,,Y
Northern,P05/195,NZ7312,260,55,Charcoal,"Schefflera digitata - 80%, Dysoxylum spectible - 5%, Beilschmiedia tawa - 10%, Coprosma sp. - 5%",Database,,Y
Northern,P05/195,NZ7310,300,55,Charcoal,"Schefflera digitata - 60%, Brachyglottis repanda - 15%, Coprosma sp. - 10%, Hebe sp. - 5%, Dysoxylum spectible - 5%",Database,,Y
Northern,P05/195,NZ7255,250,50,Charcoal,"Hebe sp., Myrsine divaricata - co-dominant",Database,,Y
Northern,P05/195,NZ7251,430,60,Charcoal,"Schefflera digitata - 60%, Olearia sp., Litsea calicaris, Hebe sp., Vitex lucens, Dysoxylum spectabile, unidentifiable shrub",Database,,Y
Northern,P05/195,NZ7249,250,50,Charcoal,"Hebe sp. - 75%, Myrsine sp. [probably australis] - 20%, Leptospermum scoparium - 5%",Database,,Y
Northern,P05/195,NZ6999,270,50,Charcoal,"Geniostoma ligustrifolium - 55%, Broadleaf shrub - 40%, Dacrydium cupressinum/ Podocarpus totara/hallii gp. - 5%",Database,,Y
Northern,P05/195,NZ6980,225,36,Charcoal,"Hebe sp. - 85%, Brachyglottis repanda - 15%, Coprosma sp., Olearia sp., Hoheria sp.",Database,,Y
Northern,P05/228,NZ6967,363,37,Charcoal,Elaeocarpus dentatus and/or Elaeocarpus hookerianus,Database,Schmidt (J),Y
Northern,P05/371,NZ7339,735,60,Charcoal,"Vitex lucens - 1pc, fern [probably Pteridium aquilinium var. esculentum] - 10-20pc",Database,Schmidt (J),Y
