Region,Site Name,Site.Number,Lab No.,CRA,Error,Material ID,Source,NZTM E,NZTM N
Northern,Windus,P05/0,NZ7337,250,50,"Beilschmiedia tawa - 50%, Hebe sp. - 25%, Myrsine australis - 25%",Database,1684602,6085084
Northern,Kaikohe,P05/0,NZ7309,400,55,"Cyathea dealbata - 40%, Podocarpus totara - 10%, Metrosideros sp. - 5%",Database,1684602,6085084
Northern,Kaikohe,P05/0,NZ7308,495,55,"Knightia excelsa, Dysoxylum spectabile, Beilschmiedia taraire, Coprosma sp., Fern stems",Database,1684602,6085084
Northern,Pouerua,P05/0,NZ7304,280,55,Cyathea dealbata,Database,1684602,6085084
Northern,Pouerua,P05/0,NZ7303,357,65,Cyathea dealbata,Database,1684602,6085084
Northern,Pouerua,P05/0,NZ7247,250,50,"Hebe sp. - 80%, Brachyglotis responda - 20%",Database,1684602,6085084
Northern,Kaikohe,P05/0,NZ7450,230,64,Pteridium aquilinium var. esculentum 99% - Vitex lucens 1 %,Database,1685504,6084087
Northern,Pouerua,P05/195,NZ7341,250,50,"Myrsine sp., Olearia sp., carbonised seeds sp.",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7333,380,60,"Cyathodes fasciculata, Hoheria sp., Dysoxylum spectible, Leptospermum sp.",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7326,900,211,Olearia rani,Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7322,390,55,"Myrsine sp. - 50%, Schefflera digitata - 30%, Coprosma sp. - 10%, unidentified shrub - 10%",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7312,260,55,"Schefflera digitata - 80%, Dysoxylum spectible - 5%, Beilschmiedia tawa - 10%, Coprosma sp. - 5%",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7310,300,55,"Schefflera digitata - 60%, Brachyglottis repanda - 15%, Coprosma sp. - 10%, Hebe sp. - 5%, Dysoxylum spectible - 5%",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7255,250,50,"Hebe sp., Myrsine divaricata - co-dominant",Database,1684602,6085084
Northern,"Pouerua, Gardens",P05/195,NZ7251,430,60,"Schefflera digitata - 60%, Olearia sp., Litsea calicaris, Hebe sp., Vitex lucens, Dysoxylum spectabile, unidentifiable shrub",Database,1684602,6085084
Northern,"Pouerua, Gardens",P05/195,NZ7249,250,50,"Hebe sp. - 75%, Myrsine sp. [probably australis] - 20%, Leptospermum scoparium - 5%",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ6999,270,50,"Geniostoma ligustrifolium - 55%, Broadleaf shrub - 40%, Dacrydium cupressinum/ Podocarpus totara/hallii gp. - 5%",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ6980,225,36,"Hebe sp. - 85%, Brachyglottis repanda - 15%, Coprosma sp., Olearia sp., Hoheria sp.",Database,1684602,6085084
Northern,"Haratua's Pa, Pouerua",P05/228,NZ6967,363,37,Elaeocarpus dentatus and/or Elaeocarpus hookerianus,Database,1686799,6085890
Northern,Field School Pa,P05/371,NZ7339,735,60,"Pteridium aquilinium var. esculentum] - 10-20pc, Vitex lucens - 1pc ",Database,1683304,6084581
Northern,Field School Pa,P05/371,NZ7311,250,50,"Beilschmiedia taraire - 2pc; Myrsine sp. [probably australis] - 1pc; Pseudopanax crasifolius - 5pc; Schefflera digitata - 2pc, Hebe sp. - 3pc; gynomsperm twig - 1pc, Dysoxylum spectabile - 6pc",Database,1683304,6084581
Northern,Kaikohe,P05/402,NZ7254,250,50,"Leptospermum scoparium/ Kunzea ericoides - 90%, Cyathea dealbata, Carpodetus serratus, ? gymnosperm",Database,1685405,6083787
Northern,Kaikohe,P05/402,NZ7250,330,60,Pteridophyte [probably Leptospermum scoparium)],Database,1685405,6083787
Northern,Cattleyards Pa,P05/408,NZ7330,407,60,"Leptospermum sp., unidentified anglosperm",Database,1685701,6085287
Northern,Wairoa Bay,P05/854,Wk 12418,454,43,"Manuka, Rangiora, 5 finger and Coprosma sp.",Best 2003,1698339,6106712
Northern,Wairoa Bay,P05/854,Wk 12419,213,51,"Hebe sp., Coprosma, 5-finger",Best 2003,1698339,6106712
Northern,Wairoa Bay,P05/854,Wk 13057,529,41,Kanuka and Pohutukawa,Best 2003,1698339,6106712
Northern,Paihia Treatment Ponds,P05/958,Wk20300,242,35,Short lived species,Mallows 2007a,1696982,6094934
Northern,Paihia Treatment Ponds,P05/958,Wk20301,160,35,Short lived species,Mallows 2007a,1696982,6094934
Northern,Paihia Treatment Ponds,P05/958,Wk20302,212,35,Short lived species,Mallows 2007a,1696982,6094934
Northern,Kaikohe,P06/82,Wk3919,220,50,Nut - Unspecified,Slocombe 2001,1669531,6076349
Northern,Kaikohe,P06/82,Wk3920,220,40,Nut - Unspecified,Slocombe 2001,1669531,6076349
Central,Tataraimaka,P19/221,NZ6552,480,33,"Pseudopanax sp., Shefflera digitata, Hedycanya arborea minor; Paratropis sp. Macropiper exedsum",Database,1676325,5666536
Central,Tataraimaka,P19/221,NZ6555,203,32,Pseudopanax sp. Corynocarpus laevigatus; Paratrophis sp.,Database,1678025,5664937
Central,Oakura,P19/26,NZ6563,263,28,Hebe sp.,Database,1686321,5669143
Central,Clarence Gardens,P30/36,Wk18813,160,37,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18814,283,33,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18815,211,31,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18816,140,39,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18817,115,37,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18818,176,42,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18819,215,39,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18822,110,35,Short lived species,Habberfield-Short 2006a,1676202,5335324
