PhaseID,C14Age,C14SD,LabID
Gri,8230,100,GrN-15250
BQ,8240,100,GrN-4852
MM,8240,95,HV-9106
AK-AK,8250,175,H-1845
Nhe,8250,70,BM-2298
AH2,8260,75,OxA-5842
AH2B,8270,100,OxA-2167
B,8270,80,OxA-2770
CHaIII,8270,160,BM-1665R
Nhe,8270,80,Pta-3650
AH2,8275,65,OxA-5843
Az31,8275,80,OxA-2412
Gri,8280,100,GrN-15248
TeS,8280,40,GrN-9832
BQ,8285,50,GrN-13103
AH2,8290,75,OxA-7122
AH2A,8300,150,OxA-877
BQ,8300,50,GrN-13104
HAII,8300,60,Beta-50857
N,8300,150,Gd-6119
N,8300,130,Gd-6108
AH2B,8320,80,OxA-1227
AH2B,8330,100,OxA-2168
BQ,8330,80,GrN-8263
MM,8330,75,HV-9107
AK-AK,8340,100,B-118724
GD-E,8340,80,SI-925
BQ,8345,35,GrN-13102
Az31,8350,120,OxA-870
CHaIII,8350,210,BM-1663R
DHI,8350,100,OxA-1637
HAII,8350,210,Beta-70359
MM,8350,75,KN-2444
CAId,8355,50,GrN-8078
RsVc,8364,101,P-460
AAN,8365,120,A-11803
BQ,8365,50,GrN-13080
AAN,8370,80,A-11805
BA,8380,100,GrN-14537
BQ,8380,45,GrN-8262
AkTIV,8390,110,Beta-138583
ChaIII,8390,140,BM-1660R
WJ7II,8390,80,OxA-2413
TAH2,8393,72,BM-1425
GhI,8400,190,GIF-3374
AAN,8410,80,A-11807
AK-AK,8410,200,S-1246
TG,8410,200,K-1006
AK-AK,8425,180,H-1833
GT,8430,80,Ua-19561
NIs,8430,80,Pta-3000
MM,8440,80,HV-9108
N,8440,130,Gd-2637
GD,8450,70,SI-4736
TA,8450,120,MC-864
AGL,8460,90,GrN-12971
CHaIII,8460,150,BM-1666R
CHaIII,8460,110,BM-1662R
GD,8460,70,SI-4735
Gri,8460,180,Beta-13217
NIs,8460,80,Pta-2999
AGM,8470,650,UCR-1718
CHaIII,8470,140,BM-1664R
CHaIII,8480,110,BM-1667R
CHII,8480,140,Ly-3772
GhI,8480,190,GIF-3375
"MM
MM",8480,70,B-2737
GD,8485,70,SI-4738
AH2A,8490,110,BM-1721R
AH2A,8490,110,OxA-878
AK-AK,8490,90,B-118723
AH2A,8500,120,OxA-1190
AH2A,8500,90,OxA-876
Nhe,8500,220,OxA-1015
WSh,8500,160,Beta-35086/WS-9
J,8520,175,H-551/491
WJ7II,8520,110,OxA-527
GD,8525,70,SI-4733
G1,8528,89,Hd-17221-17359
TSAII3,8530,60,GrN-21319
GD,8535,70,SI-4740
AK-BM,8540,90,B-122721
AsII,8540,110,GIF-2369
JEII,8540,65,BM-1320
