PhaseID,C14Age,C14SD,LabID
U14M,18400,250,OxA-866
SaIXK,18500,100,Pta-3385
OII,18600,220,RT-1343
OII,18680,180,OxA-2564
OII,18700,180,RT-1617
OII,18760,180,RT-1358
OII,18760,180,RT-1359
OII,18900,400,RT-1252
U14U,18900,250,OxA-865
RC,18910,330,I-6865
OII,19000,190,RT-1251
OII,19110,390,OxA-2566
OII,19220,180,RT-1618
OII,19250,400,RT-1250
OII,19310,190,OxA-2565
OII,19400,220,Pta-5374
OII,19400,220,Pta-5375
OII,19500,170,RT-1342
U18U,19500,250,OxA-868
WH26,19500,600,SUA-2101
OII,19590,150,RT-1616
OII,19600,400,Pta-5386
OII,19800,360,RT-1248
U18U,19800,250,OxA-864
OII,19860,190,RT-1619
OII,20070,270,RT-1621
OII,20100,440,Pta-5387
OII,20190,170,RT-1622
WHs618,20300,600,AA-4395
N,20800,550,Gd-4223
OII,20830,180,RT-1620
OII,20840,290,RT-1624
OII,21050,330,RT-1625
WJ9,21150,400,OxA-519
U18L,23200,400,OxA-867
N,25200,670,Gd-2775
N,27000,0,Gd-4214
SCD,28700,700,W-654
N,37700,0,Gd-2967
N,40000,0,Gd-5237
SCD,46000,0,GRO-2527
SCD,50000,0,GRO-1495
