Region,Site Name,SiteID,Assemblage,LabID,C14Age,C14SD,Delta 13,Material,MaterialID,Source,NZTM N,NZTM E,Longitude,Latitude
Southern,Pleasant River Mouth,J43/1a,"Pleasant River Mouth Late: Area 3, square A1, layer 1. ",NZA2802,494,62,-25.1,Charcoal,Olearia sp.,Smith 1999,4952433,1422579,170.7266765,-45.55901857
Southern,Pleasant River Mouth,J43/1b,"Pleasant River Mouth Early: Area 1, square A1, layer 2.",NZ7960,507,64,-27.6,Charcoal,"Coprosma sp. - 50%, Discaria toumatou - 25%, Shrub ?Coprosma sp. - 25%",Smith 1999,4952433,1422579,170.7266765,-45.55901857
Southern,Pleasant River Mouth,J43/1 ,"Area D, Layer 4",Wk 2789,550,90,-26.3,Charcoal,Discaria toumatou - 13 pieces. Pittosporum sp. - 4pc. Muehlenbeckia sp. - 6pc. Coprosma sp. - pc. Shrub sp. 1 pc,NZRD,4952433,1422579,170.7266765,-45.55901857
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/A - hut site. Square 3, Layer 2 - cultural horizon [between 30-40cm thick], containing artifactual material and food refuse of Maori origin, along with modern items such as rusty nails and wire netting.",NZ7759,627,47,-26.5,Charcoal,"Olearia - 31%, Hoheria - 25%, Coprosma - 25%, Pseudopanax arboreus - 13%, Myrsine australis - 6%) ",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square A6, Layer 11 - lowest cultural layer which was not very rich in cultural material. Sample was from a large, in situ, cooking pit in the northwest corner of the grid. ",NZ7771,660,46,-26.6,Charcoal,"Pseudowinteria colorata - 60%, Leptospermum scoparium - 30%, Pittosporum - 10%)",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Swamp. Square Y3, Layer 3, 40-45cm below surface. Sample associated with moa carcass in wet, fine sand and rotting vegetation. ",NZ7734,781,37,-25.6,Wood,Flax (Phormium tenax) ,NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/D: 3 - group of fire places. Squares E-F/4-5, Layer 2 - charcoal blackened sand with midden, bone and stone artifacts. Sample from the base of the deepest portion of Feature 1 - oven. ",NZA0887,626,95,-26.47,Charcoal,"Coprosma - 22%, Pseudowinteria colorata - 22%, Olearia - 22%, shrub sp. - 22%, Kunzea ericoides - 11%",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/D:1 - in the vacinity of a rectangular stone lined hearth. Layer 3 - lower component considerably darker than sand above, contains rich shell and bone midden. Sample from the southwest extension of layer 3.",NZA0888,585,93,-26.45,Charcoal,"Melicytus ramiflorus - 36%, Hoheria - 29%, Hebe - 14%, Elaeocarpus - 7%, Pteridium - 7%, Coprosma - 7%",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/B: FHA - cultural deposit. Square B2, Layer 2 - charcoal darkened sand containing midden, including moabone and artifacts [ca 20cm thick]. ",NZ7760,582,47,-25.8,Charcoal,"Hoheria - 32%, Pittosporum - 21%, Shrup sp. - 21%, Olearia - 16%, Kunzea ericoides - 5%, Sophora microphylla - 5%",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune, Square C6, Layer 6. Sample from the upper part of the layer which was rich in cultural material in comparison with the lower portion of the layer.",NZ7756,670,47,-26.8,Charcoal,"Hoheria - 95%, Myrsine australis - 5%",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square B4, Layer 7 - a fairly thin cultural layer of charcoal darkened sand [ca 10cm thick], rich in cultural material. ",Wk2589,630,35,-28.3,Charcoal,Hoheria sp.,NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square B4, Layer 7 - thin cultural layer of charcoal darkened sand. ",Wk2590,620,35,-27.6,Charcoal,pretreatment experiment - acid washed fraction  (Hoheria) ,NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square B4, Layer 7 - thin cultural layer of charcoal darkened sand. ",Wk2591,660,35,-27.1,Charcoal,pretreatment experiment - ABA insol. fraction  (Hoheria) ,NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square B4, Layer 7 - thin cultural layer of charcoal darkened sand. ",Wk2592,580,45,-27.1,Charcoal,pretreatment experiment - ABA sol. fraction  (Hoheria) ,NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square B4, Layer 7 - thin cultural layer of charcoal darkened sand. ",Wk2593,600,35,-27.1,Charcoal,pretreatment experiment - HNO3 insol. fraction  (Hoheria) ,NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square B4, Layer 7 - thin cultural layer of charcoal darkened sand. ",Wk2594,660,45,-27.5,Charcoal,pretreatment experiment - physically pretreated fraction (Hoheria) ,NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square B7-8, Layer 7 - a fairly thin cultural layer of charcoal darkened sand [ca 10cm thick]; quite rich in cultural material, several oven scoops on the north and west parts of the excavation. Sample from the northwest q ",NZ7755,646,47,-24.5,Charcoal,"Hoheria - 99%, Hebe - 1%",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square D5, Layer 6 - clean sand matrix with sparsley distributed charcoal fragments and heat-broken stones. ",NZ7757,537,44,-26.4,Charcoal,Hoheria sp.,NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square E7, Layer 4 - cultural deposit dominated by dense, thick, shell midden [mainly cockle], which filled a large natural depression. Sample from the western periphery of the depression. ",NZ7761,600,50,-26,Charcoal,"Hoheria - 37%, Pittosporum - 23%, Coprosma - 20%, Myrsine australis - 10%, Pseudopanax - 7%, P. eugenioides - 3%",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Dune. Square F3-4, Layer 2 - charcoal blackened sand rich in cultural material. Sample from near the northern margin of oven F:211 and nearby.",NZ7758,580,47,-26.9,Charcoal,"Hoheria - 80%, Olearia - 15%, Pseudopanax - 2%, Coprosma - 2% ",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/C: Swamp. Square Z3, Layer 2 - dense black sand with artifacts, most noteably stone flakes. ",NZ7762,647,47,-27.7,Charcoal,Hoheria sp.,NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Shag River Mouth,J43/2,"Shag River Mouth: Area SM/D: 2. Square A5, Layer 4 - dark sand with blades, worked bone, charcoal patches and one posthole. ",NZ7763,592,48,-28.3,Charcoal,"Hoheria - 50%, Pseudopanax arboreus - 17%, Pittosporum - 17%, Coprosma - 16%",NZRD,4961279,1429249,170.8151595,-45.48112127
Southern,Flock Hill,L34/2,Twig associated with prehistoric backpack,NZ7466,468,66,-27.7,Wood,Coprosma sp. (twigs),Trotter 1988,5216676,1501420,171.7866904,-43.19625972
Central,Birdlings Flat,M37/161,,Wk27973,662,36,,Charcoal, Dodonea viscose and Leucopogon fasciculatus,Trotter 2010,5147716,1576416,172.7067095,-43.82325262
Northern,Houhora,N03/323,"OvenL5, Square 1A, Layer 3c. ",NZ6581,430,32,-25.36,Charcoal,Beilschmiedia tarairi - dominant; Kunzea ericoides - subdominant,NZRD,6149725,1602064,173.0225626,-34.79468474
Northern,Houhora,N03/455,"Square E-F 20-21, Feature k, Layer 3",NZ6608,482,40,-24.54,Charcoal,Beilschmiedia tarairi - dominant; Leptospermum scoparium - minor; unidentified,NZRD,6151822,1601658,173.0181202,-34.77577524
Northern,Mt Camel,N03/59,"Square A7, Layer 3",NZA2438,727,86,-25.2,Charcoal,Pittosporum sp. [possibly tenuifolium] - 6pc; Coprosma sp. - 5pc; Hebe sp. - 2pc; Brachyglottis repanda - 1pc,NZRD,6146463,1614567,173.1592951,-34.82399837
Northern,Mt Camel,N03/59,"Square C7, Layers 2b and 3",NZA2437,774,87,-26.3,Charcoal,"Olearia sp. - 1pc; Beilschmiedia taraire - 1pc; Pseudopanax sp. [possibly arboreus] - 1pc, Leptospermum scoparium - 1pc",NZRD,6146463,1614567,173.1592951,-34.82399837
Northern,Mt Camel,N03/59,Layer 3,NZA2436,632,86,-26.2,Charcoal,"Dodonaea viscosa - 2pc; Pittosporum sp. - 1pc; Leptospermum scoparium - 1pc, Beilschmiedia taraire - 1pc",NZRD,6146463,1614567,173.1592951,-34.82399837
Northern,Mt Camel,N03/59,Archaic SiteLayer junction of 2 and 3,NZ7921,300,54,-26,Charcoal,Cassinia retorta - 5pc; Plagianthus betulinus - 3pc; Leptospermum scoparium - 3pc; Olearia sp. - 2pc; Melicytus ramiflorus - 1pc,NZRD,6146463,1614567,173.1592951,-34.82399837
Northern,Reef Point,N05/301,Deflated archaic working floor,Wk2100,400,50,-26.1,Wood,"Metrosideros excelsa, Cassinia retorta, Myoporum laetum, Myrsine australis, Prumnopitys taxifolia",NZRD,6105259,1605289,173.0580992,-35.19564277
Northern,Tauroa Point,N05/302a,"Layer IV, F88",Wk13534,746,39,-25.9,Charcoal,Leptospermum ericoides,Allen et al. 2005,6105260,1605390,173.0592087,-35.19563322
Northern,Tauroa Point,N05/302b,"Layer I, F111",Wk13536,183,36,-25.4,Charcoal,Leptospermum ericoides,Allen et al. 2005,6105260,1605390,173.0592087,-35.19563322
Northern,Tauroa Point,N05/302b,"Layer I, F83",Wk13535,218,37,-25.5,Charcoal,Short lived species,Allen et al. 2005,6105260,1605390,173.0592087,-35.19563322
Northern,Tauroa Point,N05/302b,"Layer I, F61",Wk13533,239,37,-25.1,Charcoal,"Leptospermum ericoides, Cassinia sp.",Allen et al. 2005,6105260,1605390,173.0592087,-35.19563322
Northern,Tauroa Point,N05/302b,"Layer I, F86",Wk13537,178,39,-24.8,Charcoal,Leptospermum ericoides,Allen et al. 2005,6105260,1605390,173.0592087,-35.19563322
Northern,Tauroa Point,N05/315a,"Layer VI, F87",Wk13538,339,33,-25.8,Charcoal,Leptospermum ericoides,Allen et al. 2005,6104961,1605790,173.0636048,-35.19832711
Northern,Tauroa Point,N05/315b,"E-W trench F13, Layer IV",Wk13531,383,40,-25.6,Charcoal,Cassinia sp.,Allen et al. 2005,6104961,1605790,173.0636048,-35.19832711
Northern,Tauroa Point,N05/315b,"E-W trench F6, Layer IV",Wk13530,356,38,-25.2,Charcoal,Leptospermum ericoides,Allen et al. 2005,6104961,1605790,173.0636048,-35.19832711
Central,Awaroa Inlet,N26/18,L2b sample from spit 4,WK1827,430,60,-28.4,Charcoal,"Melicytus ramiflorus, Myrsine australis, Coprosma sp. Dodonaea viscose",NZRD,5476581,1601714,173.0203377,-40.86182762
Central,Awaroa Inlet,N26/18,"L1ii, column sample spit 3",WK2094,460,50,-26.4,Charcoal,"Melicytus ramiflorus, Myrsine australis, Coprosma sp. Dodonaea viscose",NZRD,5476581,1601714,173.0203377,-40.86182762
Central,Waimea Garden Soils,N27/122,Borrow pit,WK1776,360,50,-26.1,Charcoal,"Matai, Prumnoptys taxifolia",NZRD,5427198,1609810,173.1171895,-41.3066171
Northern,Oruru Valley,O04/252,Layer 6,NZ7338,330,55,-30,Charcoal,"Cyathea dealbata - 95%, Podocarpus sp. bark - 5%",NZRD,6123465,1646516,173.5099416,-35.03041678
Northern,Oruru Valley,O04/252,Layer 4,NZ7334,410,55,-23.9,Charcoal,Leptospermum scoparium,NZRD,6123465,1646516,173.5099416,-35.03041678
Northern,Oruru Valley,O04/252,Sample of wood from a pit structure,NZ7342,360,55,-26.8,Charcoal,Metrosideros sp.,NZRD,6123464,1646516,173.5099417,-35.03042579
Northern,Oruru Valley,O04/253,Layer 6  ,NZ7335,410,55,-28.2,Charcoal,Beilschmiedia tarairi,NZRD,6123264,1646417,173.5088676,-35.03223376
Northern,Waipoua Forest,O06/170,Pit and terrace site,Wk1087,360,50,-22.3,Charcoal,"Ackama rosifolia, Metrosideros robusta, Brachyglottis repanda, Carpodetus serratus, Cyathea dealbata",NZRD,6055602,1646897,173.5180084,-35.64229084
Northern,Waipoua Forest,O06/171,Pit and terrace site,Wk1084,570,105,-21.3,Charcoal,"Myrsine sp., Brachyglottis repanda, Dodonaea viscosa, Ackama rosifolia, Coprosma sp., Olearia sp.",NZRD,6055801,1646796,173.5168813,-35.64050143
Northern,Waipoua Forest,O06/249,House terrace with hangi,Wk1085,460,50,-26.4,Charcoal,"Knightia excelsa, Elaeocarpus dentatus, Prumnopitys taxifolia, Vitex lucens, Dysoxylum spectabile, Beilschmeidia tarari, Dodonae viscosa, Melicytus ramiflorus, Brachyglottis repanda, Scheffliera digitata, Pseudopanax arboreus",NZRD,6055801,1646697,173.5157878,-35.64050611
Northern,Motutoa,O06/307a,"Pit 11, Sample from base of feature dug into th fill of Pit 11",NZA0514,156,93,-25.68,Charcoal,Fern sp.,NZRD/Fredericksen 1990,6072772,1639556,173.436085,-35.48780179
Northern,Motutoa,O06/307b,"Pit 11, Sample from the surface of the pit floor",NZA0538,304,75,-33.41,Charcoal,Fern sp.,NZRD/Fredericksen 1990,6072772,1639556,173.436085,-35.48780179
Northern,Kaikohe,P05/0,Hangi Pit,NZ7451,191,64,-25.6,Charcoal,"Schefflera digitata - 90%, Fern sp - 10%",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Windus,P05/0,Area 1Layer 2 - hearth,NZ7337,250,50,-26.1,Charcoal,"Beilschmiedia tawa - 50%, Hebe sp. - 25%, Myrsine australis - 25%",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Kaikohe,P05/0,"House siteArea II, sample from house wall",NZ7309,400,55,-28.8,Charcoal,"Cyathea dealbata - 40%, Podocarpus totara - 10%, Metrosideros sp. - 5%",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Kaikohe,P05/0,"Trench 2, Layer 3",NZ7308,495,55,-26.7,Charcoal,"Knightia excelsa, Dysoxylum spectabile, Beilschmiedia taraire, Coprosma sp., Fern stems",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Pouerua,P05/0,Area 1Layer 2 from under house wall,NZ7304,280,55,-29.9,Charcoal,Cyathea dealbata,NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Pouerua,P05/0,Area 1Sample from under house site,NZ7303,357,65,-30.1,Charcoal,Cyathea dealbata,NZRD,6085084,1684602,173.9313723,-35.3739854
